totim,time_step,stress_period,name,ZONE_1
30.999998,17,30,TO_RECHARGE,0.0
30.999998,17,30,TO_STREAM_LEAKAGE,25596.53
30.999998,17,30,TO_ZONE_1,0.0
30.999998,17,30,TOTAL_OUT,73116.67
30.999998,17,30,IN-OUT,52.9375
30.999998,17,30,PERCENT_DISCREPANCY,0.07242763
31.999998,17,31,FROM_STORAGE,43447.516
31.999998,17,31,FROM_CONSTANT_HEAD,0.0
31.999998,17,31,FROM_RECHARGE,28844.887
31.999998,17,31,FROM_STREAM_LEAKAGE,0.0
31.999998,17,31,FROM_ZONE_1,0.0
31.999998,17,31,TOTAL_IN,72292.41
31.999998,17,31,TO_STORAGE,46735.75
31.999998,17,31,TO_CONSTANT_HEAD,0.0
31.999998,17,31,TO_RECHARGE,0.0
31.999998,17,31,TO_STREAM_LEAKAGE,25612.414
31.999998,17,31,TO_ZONE_1,0.0
31.999998,17,31,TOTAL_OUT,72348.164
31.999998,17,31,IN-OUT,55.757812
31.999998,17,31,PERCENT_DISCREPANCY,0.077098444
33.0,17,32,FROM_STORAGE,42519.438
33.0,17,32,FROM_CONSTANT_HEAD,0.0
33.0,17,32,FROM_RECHARGE,28844.887
33.0,17,32,FROM_STREAM_LEAKAGE,0.0
33.0,17,32,FROM_ZONE_1,0.0
33.0,17,32,TOTAL_IN,71364.33
33.0,17,32,TO_STORAGE,45774.266
33.0,17,32,TO_CONSTANT_HEAD,0.0
33.0,17,32,TO_RECHARGE,0.0
33.0,17,32,TO_STREAM_LEAKAGE,25627.977
33.0,17,32,TO_ZONE_1,0.0
33.0,17,32,TOTAL_OUT,71402.24
33.0,17,32,IN-OUT,37.914062
33.0,17,32,PERCENT_DISCREPANCY,0.053113364
34.0,17,33,FROM_STORAGE,41809.78
34.0,17,33,FROM_CONSTANT_HEAD,0.0
34.0,17,33,FROM_RECHARGE,28844.887
34.0,17,33,FROM_STREAM_LEAKAGE,0.0
34.0,17,33,FROM_ZONE_1,0.0
34.0,17,33,TOTAL_IN,70654.67
34.0,17,33,TO_STORAGE,45050.34
34.0,17,33,TO_CONSTANT_HEAD,0.0
34.0,17,33,TO_RECHARGE,0.0
34.0,17,33,TO_STREAM_LEAKAGE,25643.26
34.0,17,33,TO_ZONE_1,0.0
34.0,17,33,TOTAL_OUT,70693.6
34.0,17,33,IN-OUT,38.929688
34.0,17,33,PERCENT_DISCREPANCY,0.055083353
35.0,17,34,FROM_STORAGE,41317.508
35.0,17,34,FROM_CONSTANT_HEAD,0.0
35.0,17,34,FROM_RECHARGE,28844.887
35.0,17,34,FROM_STREAM_LEAKAGE,0.0
35.0,17,34,FROM_ZONE_1,0.0
35.0,17,34,TOTAL_IN,70162.39
35.0,17,34,TO_STORAGE,44557.2
35.0,17,34,TO_CONSTANT_HEAD,0.0
35.0,17,34,TO_RECHARGE,0.0
35.0,17,34,TO_STREAM_LEAKAGE,25658.277
35.0,17,34,TO_ZONE_1,0.0
35.0,17,34,TOTAL_OUT,70215.48
35.0,17,34,IN-OUT,53.085938
35.0,17,34,PERCENT_DISCREPANCY,0.075632915
36.0,17,35,FROM_STORAGE,40664.805
36.0,17,35,FROM_CONSTANT_HEAD,0.0
36.0,17,35,FROM_RECHARGE,28844.887
36.0,17,35,FROM_STREAM_LEAKAGE,0.0
36.0,17,35,FROM_ZONE_1,0.0
36.0,17,35,TOTAL_IN,69509.69
36.0,17,35,TO_STORAGE,43889.688
36.0,17,35,TO_CONSTANT_HEAD,0.0
36.0,17,35,TO_RECHARGE,0.0
36.0,17,35,TO_STREAM_LEAKAGE,25672.998
36.0,17,35,TO_ZONE_1,0.0
36.0,17,35,TOTAL_OUT,69562.69
36.0,17,35,IN-OUT,53.0
36.0,17,35,PERCENT_DISCREPANCY,0.076219305
37.0,17,36,FROM_STORAGE,40037.63
37.0,17,36,FROM_CONSTANT_HEAD,0.0
37.0,17,36,FROM_RECHARGE,28844.887
37.0,17,36,FROM_STREAM_LEAKAGE,0.0
37.0,17,36,FROM_ZONE_1,0.0
37.0,17,36,TOTAL_IN,68882.516
37.0,17,36,TO_STORAGE,43247.855
37.0,17,36,TO_CONSTANT_HEAD,0.0
37.0,17,36,TO_RECHARGE,0.0
37.0,17,36,TO_STREAM_LEAKAGE,25687.455
37.0,17,36,TO_ZONE_1,0.0
37.0,17,36,TOTAL_OUT,68935.31
37.0,17,36,IN-OUT,52.796875
37.0,17,36,PERCENT_DISCREPANCY,0.07661835
38.0,17,37,FROM_STORAGE,39431.484
38.0,17,37,FROM_CONSTANT_HEAD,0.0
38.0,17,37,FROM_RECHARGE,28844.887
38.0,17,37,FROM_STREAM_LEAKAGE,0.0
38.0,17,37,FROM_ZONE_1,0.0
38.0,17,37,TOTAL_IN,68276.375
38.0,17,37,TO_STORAGE,42627.25
38.0,17,37,TO_CONSTANT_HEAD,0.0
38.0,17,37,TO_RECHARGE,0.0
38.0,17,37,TO_STREAM_LEAKAGE,25701.68
38.0,17,37,TO_ZONE_1,0.0
38.0,17,37,TOTAL_OUT,68328.93
38.0,17,37,IN-OUT,52.554688
38.0,17,37,PERCENT_DISCREPANCY,0.076943845
39.0,17,38,FROM_STORAGE,38848.92
39.0,17,38,FROM_CONSTANT_HEAD,0.0
39.0,17,38,FROM_RECHARGE,28844.887
39.0,17,38,FROM_STREAM_LEAKAGE,0.0
39.0,17,38,FROM_ZONE_1,0.0
39.0,17,38,TOTAL_IN,67693.81
39.0,17,38,TO_STORAGE,42030.156
39.0,17,38,TO_CONSTANT_HEAD,0.0
39.0,17,38,TO_RECHARGE,0.0
39.0,17,38,TO_STREAM_LEAKAGE,25715.629
39.0,17,38,TO_ZONE_1,0.0
39.0,17,38,TOTAL_OUT,67745.78
39.0,17,38,IN-OUT,51.96875
39.0,17,38,PERCENT_DISCREPANCY,0.07674085
